end_in,length,min_required,reason,start_in,track_id
,1,6,min_track_length,,310
,1,6,min_track_length,,311
,1,6,min_track_length,,312
,1,6,min_track_length,,313
,3,6,min_track_length,,315
,1,6,min_track_length,,316
,1,6,min_track_length,,317
,1,6,min_track_length,,318
,2,6,min_track_length,,319
,1,6,min_track_length,,320
,1,6,min_track_length,,321
,2,6,min_track_length,,322
,1,6,min_track_length,,323
,1,6,min_track_length,,324
,1,6,min_track_length,,325
,1,6,min_track_length,,326
,1,6,min_track_length,,327
,1,6,min_track_length,,328
,1,6,min_track_length,,329
,1,6,min_track_length,,330
,1,6,min_track_length,,331
,1,6,min_track_length,,332
,1,6,min_track_length,,333
,1,6,min_track_length,,334
,1,6,min_track_length,,335
,1,6,min_track_length,,336
,1,6,min_track_length,,337
,1,6,min_track_length,,338
,1,6,min_track_length,,339
,1,6,min_track_length,,340
,1,6,min_track_length,,341
False,,,require_start_or_end_in_valid_region,False,342
,1,6,min_track_length,,343
,1,6,min_track_length,,344
,1,6,min_track_length,,345
,1,6,min_track_length,,346
,1,6,min_track_length,,347
,1,6,min_track_length,,348
,1,6,min_track_length,,349
,1,6,min_track_length,,350
,1,6,min_track_length,,351
,1,6,min_track_length,,352
,1,6,min_track_length,,353
,1,6,min_track_length,,354
,1,6,min_track_length,,355
,1,6,min_track_length,,356
,1,6,min_track_length,,357
,1,6,min_track_length,,358
,1,6,min_track_length,,359
,1,6,min_track_length,,360
,1,6,min_track_length,,361
,2,6,min_track_length,,362
,1,6,min_track_length,,363
,1,6,min_track_length,,364
,1,6,min_track_length,,365
,1,6,min_track_length,,366
,1,6,min_track_length,,367
,1,6,min_track_length,,368
,1,6,min_track_length,,369
,1,6,min_track_length,,370
,1,6,min_track_length,,371
,1,6,min_track_length,,372
,1,6,min_track_length,,373
,1,6,min_track_length,,374
,1,6,min_track_length,,375
,1,6,min_track_length,,376
,1,6,min_track_length,,377
,1,6,min_track_length,,378
,1,6,min_track_length,,379
,1,6,min_track_length,,380
,1,6,min_track_length,,381
,1,6,min_track_length,,382
,1,6,min_track_length,,383
,1,6,min_track_length,,384
,1,6,min_track_length,,385
,1,6,min_track_length,,386
,1,6,min_track_length,,387
,1,6,min_track_length,,388
,1,6,min_track_length,,389
,1,6,min_track_length,,390
,1,6,min_track_length,,391
,1,6,min_track_length,,392
,1,6,min_track_length,,393
