any_sample_inside_raw,direction_as_events_csv,direction_endpoint_rule,displacement_px,end_in_valid_dilated,end_in_valid_raw,final_gate_fail_reason,frame_end,frame_span,frame_start,internal_gap_frames,is_exit_as_events_csv,not_exit_reason_primary,num_detections,overlay_category,passed_post_filter_pre_merge,path_length_px,relaxed_exit_outward,start_in_valid_dilated,start_in_valid_raw,track_id,x_end,x_start,y_end,y_start
False,outside,outside,0.0,False,False,min_track_length,972,1,972,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,41,394.5,394.5,772.0,772.0
False,outside,outside,0.0,False,False,min_track_length,1001,1,1001,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,42,373.5,373.5,761.5,761.5
False,outside,outside,0.0,False,False,min_track_length,1037,1,1037,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,43,342.5,342.5,756.0,756.0
False,outside,outside,0.0,True,False,min_track_length,1063,1,1063,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,True,False,44,357.0,357.0,690.0,690.0
False,outside,outside,0.0,False,False,min_track_length,1123,1,1123,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,45,1243.5,1243.5,584.0,584.0
False,outside,outside,0.0,False,False,min_track_length,1132,1,1132,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,46,408.5,408.5,473.0,473.0
False,outside,outside,0.0,True,False,min_track_length,1141,1,1141,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,True,False,47,447.5,447.5,762.0,762.0
False,outside,outside,0.0,False,False,min_track_length,1147,1,1147,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,48,1337.0,1337.0,699.0,699.0
False,outside,outside,0.0,False,False,min_track_length,1178,1,1178,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,49,1085.0,1085.0,748.0,748.0
False,outside,outside,0.0,False,False,min_track_length,1288,1,1288,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,50,1249.5,1249.5,571.5,571.5
False,outside,outside,45.47,False,False,min_track_length,1375,13,1363,11,False,strict_endpoints_both_outside_never_inside_mask,2,no_exit_length_or_shape,False,45.47,False,False,False,51,947.0,902.0,623.0,616.5
False,outside,outside,0.0,True,False,min_track_length,1375,1,1375,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,True,False,52,446.0,446.0,761.5,761.5
False,outside,outside,0.0,False,False,min_track_length,1399,1,1399,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,53,393.5,393.5,90.0,90.0
False,outside,outside,0.0,False,False,min_track_length,1438,1,1438,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,54,341.5,341.5,506.0,506.0
True,inside,inside,0.0,True,True,min_track_length,1576,1,1576,0,False,strict_endpoints_both_inside,1,no_exit_length_or_shape,False,0.0,False,True,True,55,378.5,378.5,692.0,692.0
False,outside,outside,0.0,False,False,min_track_length,1587,1,1587,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,56,212.0,212.0,741.5,741.5
False,outside,outside,0.0,False,False,min_track_length,1642,1,1642,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,57,409.5,409.5,486.0,486.0
False,outside,outside,0.0,False,False,min_track_length,1651,1,1651,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,58,1420.5,1420.5,311.5,311.5
False,outside,outside,0.0,False,False,min_track_length,1659,1,1659,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,59,410.0,410.0,471.5,471.5
False,outside,outside,0.0,False,False,min_track_length,1705,1,1705,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,60,570.5,570.5,580.5,580.5
False,outside,outside,0.0,False,False,min_track_length,1749,1,1749,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,61,509.0,509.0,574.0,574.0
False,outside,outside,0.0,False,False,min_track_length,1828,1,1828,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,62,339.5,339.5,505.5,505.5
False,outside,outside,33.31,False,False,min_track_length,1878,4,1875,1,False,strict_endpoints_both_outside_never_inside_mask,3,no_exit_length_or_shape,False,33.31,False,False,False,63,1198.5,1231.5,9.0,4.5
False,outside,outside,21.21,False,False,min_track_length,1879,4,1876,1,False,strict_endpoints_both_outside_never_inside_mask,3,no_exit_length_or_shape,False,22.85,False,False,False,64,1171.5,1192.5,12.0,9.0
